Nombre,ID,Twitter,Partido
María Candelaria Acevedo,1096,,PC
Eric Aedo,1097,,DC
Yovana Ahumada,1098,,PSC
Jorge Alessandri,1009,,UDI
René Alinco,803,,IND
Jaime Araya,1099,,IND
Cristián Araya,1100,,PREP
Mónica Arce,1101,,IND
Roberto Arroyo,1102,,PSC
Danisa Astudillo,1103,,PS
Chiara Barchiesi,1104,,PREP
Boris Barrera,1012,,PC
Héctor Barría,1105,,DC
Arturo Barrios,1185,,PS
Miguel Ángel Becker,1106,,RN
María Francisca Bello,1107,,FA
Juan Carlos Beltrán,1108,,RN
Gustavo Benavente,1109,,UDI
Bernardo Berger,971,,IND
Alejandro Bernales,1013,,LIBERAL
Carlos Bianchi,1110,,IND
Sergio Bobadilla,815,,UDI
Fernando Bórquez,1111,,UDI
Ana María Bravo,1112,,PS
Marta Bravo,1113,,UDI
Jorge Brito,1015,,FA
Félix Bugueño,1114,,FA
Miguel Ángel Calisto,1016,,IND
Felipe Camaño,1116,,IND
Karol Cariola,973,,PC
Álvaro Carter,1017,,IND
Nathalie Castillo,1117,,PC
José Miguel Castro,1019,,RN
Roberto Celedón,1184,,IND
Andrés Celis,1021,,RN
Daniella Cicardini,975,,PS
Sofía Cid,1022,,IND
Ricardo Cifuentes,1118,,DC
Juan Antonio Coloma,976,,UDI
Sara Concha,1119,,PSC
María Luisa Cordero,1120,,IND
Eduardo Cornejo,1121,,UDI
Luis Alberto Cuello,1122,,PC
Gonzalo De la Carrera,1123,,PNL
Catalina Del Real,1025,,IND
Viviana Delgado,1125,,IND
Felipe Donoso,1126,,UDI
Jorge Durán,1027,,RN
Eduardo Durán,1028,,RN
Camila Flores,1030,,RN
Lorena Fries,1127,,FA
Juan Fuenzalida,1031,,UDI
Ana María Gazmuri,1128,,PAH
Andrés Giordano,1129,,FA
Félix González,1034,,PEV
Marta González,1130,,IND
Mauro González,1131,,RN
Jorge Guzmán,1132,,EVOP
Carmen Hertz,1035,,PC
Tomás Hirsch,1036,,PAH
Diego Ibáñez,1037,,FA
Marcos Ilabaca,1038,,PS
Juan Irarrázaval,1133,,PREP
Pamela Jiles,1039,,PH
Andrés Jouannet,1134,,AMA
Harry Jürgensen,1040,,IND
Johannes Kaiser,1135,,PNL
Cristian Labbé,1094,,PNL
Paula Labra,1136,,IND
Tomás Lagomarsino,1137,,IND
Joaquín Lavín,989,,UDI
Henry Leal,1138,,UDI
Enrique Lee,1139,,IND
Raúl Leiva,1044,,PS
Daniel Lilayu,1140,,UDI
Andrés Longton,1046,,RN
Luis Malla,1141,,LIBERAL
Daniel Manouchehri,1142,,PS
Cristóbal Martínez,1143,,UDI
Carolina Marzán,1048,,PPD
Christian Matheson,1144,,IND
Karen Medina,1145,,IND
Cosme Mellado,1049,,PR
Miguel Mellado,1050,,RN
Daniel Melo,990,,PS
José Carlos Meza,1146,,PREP
Vlado Mirosevic,991,,LIBERAL
Claudia Mix,1051,,FA
Helia Molina,1147,,PPD
Javiera Morales,1148,,FA
Carla Morales,1149,,RN
Cristhian Moreira,1053,,UDI
Benjamín Moreno,1150,,PREP
Jaime Mulet,872,,FRVS
Francesca Muñoz,1054,,PSC
Camila Musante,1151,,IND
Jaime Naranjo,74,,IND
Gloria Naveillan,1152,,PNL
Emilia Nuyado,1056,,PS
Coca Ericka Ñanco,1153,,FA
Mauricio Ojeda,1154,,IND
Erika Olivera,1057,,DEM
Maite Orsini,1058,,FA
Ximena Ossandón,1059,,RN
Rubén Darío Oyarzo,1155,,IND
Hernán Palma,1156,,IND
Marlene Pérez,1157,,IND
Joanna Pérez,1062,,DEM
Catalina Pérez,1063,,FA
Víctor Alejandro Pino,1158,,DEM
Lorena Pizarro,1159,,PC
Alejandra Placencia,1160,,PC
Francisco Pulgar,1161,,IND
Guillermo Ramírez,1065,,UDI
Matías Ramírez,1162,,PC
Marcia Raphael,1163,,RN
Jorge Rathgeb,999,,RN
Hugo Rey,1067,,RN
Marcela Riquelme,1164,,IND
Gaspar Rivas,948,,IND
Camila Rojas,1068,,FA
Agustín Romero,1165,,PREP
Leonidas Romero,1069,,PNL
Natalia Romero,1166,,IND
Patricio Rosas,1070,,FA
Jaime Sáez,1167,,FA
Jorge Saffirio,1168,,DEM
Clara Sagardía,1169,,FA
Luis Sánchez,1170,,PREP
Juan Santana,1073,,PS
Marisela Santibáñez,1074,,IND
Frank Sauerbaum,953,,RN
Diego Schalper,1075,,RN
Emilia Schneider,1171,,FA
Stephan Schubert,1172,,PREP
Alexis Sepúlveda,1076,,PR
Daniela Serrano,1173,,PC
Leonardo Soto,1002,,PS
Raúl Soto,1077,,PPD
Marco Antonio Sulantay,1174,,UDI
Cristián Tapia,1175,,IND
Hotuiti Teao,1176,,IND
Carolina Tello,1177,,FA
Renzo Trisotti,1003,,PREP
Héctor Ulloa,1178,,IND
Francisco Undurraga,1081,,EVOP
Alberto Undurraga,1179,,DC
Cristóbal Urruticoechea,1082,,PNL
Consuelo Veloso,1180,,IND
Nelson Venegas,1181,,PS
Sebastián Videla,1182,,IND
Gastón Von Mühlenbrock,917,,UDI
Flor Weisse,1183,,UDI
Gonzalo Winter,1086,,FA
Gael Yeomans,1087,,FA
